genus	statistic	p.value	parameter	method	WM	C	WMR	WMC	p.value.adj	day
Butyrivibrio	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Carnobacteriaceae Unclassified	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Clostridia Unclassified	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Clostridium sensu stricto	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Clostridium XI	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Clostridium XlVa	1.5096891861083668	0.47008366332065676	2	Kruskal-Wallis rank sum test	0.013	0.016	0.012	NA	0.5820083450636703	30
Collinsella	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Corynebacterium	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Curvibacter	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Cystobacter	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Enterococcus	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Flavobacteriaceae Unclassified	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Flavonifractor	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Fusicatenibacter	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Janthinobacterium	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Lactobacillus	2.4771529626123066	0.2897964551270495	2	Kruskal-Wallis rank sum test	0.014	0.008	0.012	NA	0.5820083450636703	30
Listeria	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Mannheimia	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Mucispirillum	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Neisseriaceae Unclassified	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Parasutterella	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Pasteurellaceae Unclassified	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
