otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	WMC	1RM1	WMN	CN	p.value.adj
Akkermansia (OTU 5649)	9.111111111111455	0.42708157572178734	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.6516502127020608
Porphyromonadaceae (OTU 44)	8.8037012557839045	0.4555882307136292	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.6786034485454757
Ruminococcaceae (OTU 92)	8.8037012557839045	0.4555882307136292	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.6786034485454757
Ruminococcaceae (OTU 143)	8.8037012557839045	0.4555882307136292	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.6786034485454757
Peptostreptococcaceae (OTU 12)	8.326053007754451	0.5016510912237062	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.731860838566092
Porphyromonadaceae (OTU 40)	8.352610707204605	0.49903888684954834	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.731860838566092
Pseudoflavonifractor (OTU 69)	8.352610707204605	0.49903888684954834	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.731860838566092
Porphyromonadaceae (OTU 21)	8.005678020174928	0.533574109543949	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.7731379954616404
Bacteroides (OTU 282)	7.94662921348297	0.5395335596740789	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.7764908662876947
Porphyromonadaceae (OTU 25)	7.783225300408639	0.5561310174376027	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.7950060853302643
Alistipes (OTU 18)	7.542695709339921	0.58080425608254	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.8247420436372068
Parabacteroides (OTU 245)	7.40056179775242	0.5954903346270429	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.8399962998381467
Porphyromonadaceae (OTU 14)	6.7988356229768465	0.6580543634134248	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.9221419697832861
Blautia (OTU 132)	6.583333333333933	0.6804103925855061	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.9350155717465342
Lachnospiraceae (OTU 164)	6.583333333333933	0.6804103925855061	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.9350155717465342
Listeria (OTU 228)	6.583333333333933	0.6804103925855061	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.9350155717465342
