otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	WMC	M1	p.value.adj
Lachnospiraceae (OTU 104)	13.43455043287553	0.06220234896563161	7	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0	0	0.29690399557822095
Lachnospiraceae (OTU 74)	12.832523950669193	0.07629558453246905	7	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0	5e-4	0.3036175766928176
Lachnospiraceae (OTU 116)	13.041135294955772	0.07111245755679273	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.3036175766928176
Bacteria (OTU 168)	12.958159659108203	0.07313440891123825	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3036175766928176
Acetatifactor (OTU 206)	12.66666666666692	0.08065866508254117	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3036175766928176
Bacteria (OTU 232)	13.047163947163718	0.0709675545430237	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3036175766928176
Firmicutes (OTU 235)	12.66666666666692	0.08065866508254117	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3036175766928176
Oscillibacter (OTU 236)	12.66666666666692	0.08065866508254117	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3036175766928176
Porphyromonadaceae (OTU 258)	12.66666666666692	0.08065866508254117	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3036175766928176
Bacteria (OTU 283)	13.299173553718921	0.06514600869095466	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3036175766928176
Bacteria (OTU 293)	12.66666666666692	0.08065866508254117	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3036175766928176
Dialister (OTU 320)	12.66666666666692	0.08065866508254117	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3036175766928176
Porphyromonadaceae (OTU 364)	13.17616501145903	0.06793073254534067	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3036175766928176
Porphyromonadaceae (OTU 414)	12.66666666666692	0.08065866508254117	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3036175766928176
Clostridium (OTU 424)	12.66666666666692	0.08065866508254117	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3036175766928176
Porphyromonadaceae (OTU 514)	12.66666666666692	0.08065866508254117	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3036175766928176
Ruminococcaceae (OTU 526)	12.66666666666692	0.08065866508254117	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3036175766928176
Ruminococcaceae (OTU 532)	12.66666666666692	0.08065866508254117	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3036175766928176
Lachnospiraceae (OTU 586)	12.66666666666692	0.08065866508254117	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3036175766928176
Clostridiales (OTU 590)	12.66666666666692	0.08065866508254117	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3036175766928176
Bacteria (OTU 669)	12.66666666666692	0.08065866508254117	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3036175766928176
Lachnospiraceae (OTU 762)	12.66666666666692	0.08065866508254117	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3036175766928176
Porphyromonadaceae (OTU 812)	12.66666666666692	0.08065866508254117	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3036175766928176
Lachnospiraceae (OTU 830)	12.66666666666692	0.08065866508254117	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3036175766928176
Pseudoflavonifractor (OTU 955)	12.66666666666692	0.08065866508254117	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3036175766928176
Porphyromonadaceae (OTU 1465)	12.66666666666692	0.08065866508254117	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3036175766928176
Phocaeicola (OTU 2713)	12.66666666666692	0.08065866508254117	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3036175766928176
Coriobacteriaceae (OTU 182)	12.585256887565045	0.08288183599329355	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3094700811685073
Clostridiales (OTU 269)	12.546946569191748	0.08394706666470857	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3109399349260805
Clostridium (OTU 201)	12.471455505278934	0.08608235945754712	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.31631851134003425
Clostridiales (OTU 141)	12.413489301066898	0.08775505264606881	7	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0	0	0.3199259005915737
Firmicutes (OTU 129)	12.242211434358419	0.092869725967138	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.33592721189675695
Olsenella (OTU 114)	12.194475608356978	0.09434209745703452	7	Kruskal-Wallis rank sum test	0.003	0	0	0.001	0	0	0.001	0	0.3360030086354383
Lactobacillus (OTU 294)	12.205562465515206	0.09399827977132345	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3360030086354383
Clostridiales (OTU 171)	12.007528012813822	0.10031157733659142	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.3545363382201666
Porphyromonadaceae (OTU 212)	11.922255118400475	0.10314471309712281	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3617878951815747
Porphyromonadaceae (OTU 353)	11.812500000000203	0.10689596797370915	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3721265652017093
Lachnospiraceae (OTU 133)	11.743200595481674	0.10932644385936453	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0	0.001	0.3749492111621169
Porphyromonadaceae (OTU 311)	11.76156677547045	0.10867757751547796	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3749492111621169
Lachnospiraceae (OTU 152)	11.5438676043269	0.11659242038792147	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3969286076441738
Ruminococcaceae (OTU 37)	11.441706403070524	0.12047886693009852	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.4071658057564643
Porphyromonadaceae (OTU 318)	11.328671328671529	0.12491121645659733	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.4190861827493084
Ruminococcaceae (OTU 143)	11.228385382787694	0.12896256100259765	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.4295659406057749
Clostridiales (OTU 136)	11.17849335959631	0.13102051162224376	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.4333035491507061
Erysipelotrichaceae (OTU 142)	10.972371794871668	0.1398286984214245	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.4591538111285074
Lachnospiraceae (OTU 76)	10.818131142196947	0.14675114244756937	7	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0	5e-4	0.4784914010790466
Lachnospiraceae (OTU 49)	10.694283703745054	0.1525212892904433	7	Kruskal-Wallis rank sum test	0	5e-4	0	0.001	5e-4	5e-4	0	0.0015	0.4938276709194074
Lachnospiraceae (OTU 75)	10.494134818635441	0.16225715149743944	7	Kruskal-Wallis rank sum test	0	0	5e-4	0	5e-4	0	0	0	0.5190289857946238
Porphyromonadaceae (OTU 285)	10.488337320574171	0.16254687460090808	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.5190289857946238
Dorea (OTU 134)	10.335633311969213	0.17033778117423481	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.5401807718059638
Lachnospiraceae (OTU 183)	10.182666817799152	0.17845608318271058	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.562075962677517
Lachnospiraceae (OTU 222)	10.131332676611201	0.18125233421712775	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.567025883395474
Ruminococcaceae (OTU 106)	10.078268511307332	0.18418128414475332	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.5723217084498039
Enterobacteriaceae (OTU 176)	9.901062573789973	0.19424984360588357	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.5995845172634939
Lachnospiraceae (OTU 17)	9.849458845741365	0.19726623291914147	7	Kruskal-Wallis rank sum test	0.006500000000000001	0.002	0.0015	0.003	0.002	0.002	0	0.004	0.6048626876924669
Lachnospiraceae (OTU 174)	9.822142254030739	0.19887855988378766	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6057945606986427
Acetatifactor (OTU 78)	9.702338798071851	0.20607846800875382	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.001	0.6236230763925034
Ruminococcaceae (OTU 60)	9.583174888830516	0.21345031863282626	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.001	0.6331339519984632
Porphyromonadaceae (OTU 67)	9.24998358303647	0.23520310959770124	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6331339519984632
Lachnospiraceae (OTU 68)	9.38890179828061	0.22592690559937317	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.6331339519984632
Ruminococcaceae (OTU 118)	9.609146779471628	0.21182556810136227	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6331339519984632
Lachnospiraceae (OTU 121)	9.578358745684708	0.21375271864250903	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6331339519984632
Staphylococcus (OTU 156)	9.250000000000274	0.23520199567560365	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6331339519984632
Parabacteroides (OTU 245)	9.250000000000274	0.23520199567560365	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6331339519984632
